ID,Artist,Album,URI,Count
622616457857,The Beach Boys,Smiley Smile,spotify:album:37rNuexqEXWeSIOiJtn3A9,0
584197670252,The Beach Boys,Endless Summer,spotify:album:05J8PFXdYKeYNb8YjqqJYr,1
584198718844,Adele,21,spotify:album:7n3QJc7TBOxXtlYh4Ssll8,2
584198456696,The Beatles ,Rubber Soul,spotify:album:50o7kf2wLwVmOTVYJOTplm,3
584198194532,Pink Floyd,Dark Side Of The Moon,spotify:album:4LH4d3cOWNNsVw41Gqt2kv,4
,Bob Marley and The Wailers,Legend,spotify:album:04VRfesff9bgDA2Q8J2oDo,5
,The Beatles,Sgt. Pepper’s Lonely Hearts Club Band,spotify:album:6b7ycwe2rxq6FkaupNuGoS,6
,The Beach Boys,Surfin' U.S.A,spotify:album:6MtwL9RtB8O3s9lJ5RvZHA,7
,Marvin Gaye,What’s Going On,spotify:album:6qX4eoPWGteMdJMqGOwPTs,8
,The Clash,London Calling,spotify:album:6FCzvataOZh68j8OKzOt9a,9
,The Beatles,Abbey Road,spotify:album:5iT3F2EhjVQVrO4PKhsP8c,10
,The Who,Who’s Next,spotify:album:5MqyhhHbT13zsloD3uHhlQ,11
,The Rolling Stones,Let It Bleed,spotify:album:4l4u9e9jSbotSXNjYfOugy,12
,The Eagles,Hotel California,spotify:album:2widuo17g5CEC66IbzveRu,13
,The Beatles,Please Please Me,spotify:album:3KzAvEXcqJKBF97HrXwlgf,14
,The Doors,The Doors,spotify:album:1jWmEhn3ggaL6isoyLfwBn,15
,A$AP ROCKY,AT.LONG.LAST.A$AP,spotify:album:3arNdjotCvtiiLFfjKngMc,16
,Travis Scott,Rodeo,spotify:album:4PWBTB6NYSKQwfo79I3prg,17
,Kanye West,My Beautiful Dark Twisted Fantasy,spotify:album:20r762YmB5HeofjMCiPMLv,18
,The Doors,L.A. Woman,spotify:album:7IKUTIc9UWuVngyGPtqNHS,19
,"The Velvet Underground, Nico",The Velvet Underground and Nico,spotify:album:4xwx0x7k6c5VuThz5qVqmV,20
,Bruce Springsteen,Born In The USA,spotify:album:0PMasrHdpaoIRuHuhHp72O,21
,Cake,Comfort Eagle,spotify:album:5OCg9OWnL1PY4tW2ON8ssj,22
,Beastie Boys,License to III,spotify:album:11oR0ZuqB3ucZwb5TGbZxb,23
,Guns N' Roses,Use Your Illusion II,spotify:album:5mzoB7ggIOyQIzj5sGl0ZH,24
,The Beach Boys,Spirit Of America,spotify:album:1j3ak8bXvTij3YcWXb6laH,25
,Elton John,Don't Shoot Me I'm Only The Piano Player,spotify:album:1reJ8DttK5EGwdyf7y9FBR,26
,PLAYLIST,NFC Party List,spotify:playlist:5NedNTv3hA6ZwoLSRAiDsa,27
,Post Malone,beerbongs & bentleys,spotify:album:6trNtQUgC8cgbWcqoMYkOR,28
,Various Artists,Another Shot of Old Skool of Rock,spotify:album:3UioHiThwqh7dbae38V3Ib,29
,Guns N' Roses,Appetite For Destruction,spotify:album:28yHV3Gdg30AiB8h8em1eW,30
,"JAY-Z, Kanye West",Watch The Throne,spotify:album:2P2Xwvh2xWXIZ1OWY9S9o5,31
,Dr. Dre,2001,spotify:album:7q2B4M5EiBkqrlsNW8lB7N,32
,Kanye West,Graduation,spotify:album:5fPglEDz9YEwRgbLRvhCZy,33
,Adonis,12 Sa'a,spotify:album:7yWLsrNU17dhFesO9R7EZa,34
,The J. Geils Band,Freeze Frame,spotify:album:48joW5905AMbTFLvy8ZWch,35
,AC/DC,Back In Black,spotify:album:6mUdeDZCsExyJLMdAfDuwh,36
,AC/DC,The Razor's Edge,spotify:album:4vu7F6h90Br1ZtYYaqfITy,37
,AC/DC,Highway To Hell,spotify:album:10v912xgTZbjAtYfyKWJCS,38
,Led Zeppelin,Mothership,spotify:album:4wExFfncaUIqSgoxnqa3Eh,39
,The White Stripes,Elephant,spotify:album:4teFaDSeFHYXZjZJaZGrAO,40
,Oasis,Definitely Maybe,spotify:album:6YS4zNofCOD5Kf9H39WHNI,41
,The Rolling Stones,Sticky Fingers,spotify:album:29m6DinzdaD0OPqWKGyMdz,42
,The Rolling Stones,Exile on Main St.,spotify:album:5U4dnRZsfW8NmwBBkELFPh,43
,Beastie Boys,Paul's Boutique,spotify:album:1kmyirVya5fRxdjsPFDM05,44
,Nirvana,Nevermind,spotify:album:6yaiubHHJy8N8QcHy3julo,45
,Pearl Jam,Ten,spotify:album:5B4PYA7wNN4WdEXdIJu58a,46
,Radiohead ,OK Computer,spotify:album:7dxKtc08dYeRVHt3p9CZJn,47
,David Bowie,The Rise and Fall of Ziggy Stardust and the Spiders from Mars,spotify:album:48D1hRORqJq52qsnUYZX56,48
,David Bowie,Heroes,spotify:album:4I5zzKYd2SKDgZ9DRf5LVk,49
,The Beach Boys,Pet Sounds,spotify:album:42oBdomfxF0DbKKMEqrnQW,50
,Bruce Springsteen,Greetings from Asbury Park,spotify:album:4hQ5RfHzq1SGJNfZWrpg7C,51
,Fleetwood Mac,Rumours,spotify:album:1bt6q2SruMsBtcerNVtpZB,52
,Prince,Purple Rain,spotify:album:7nXJ5k4XgRj5OLg9m8V3zc,53
,The Beatles,Revolver,spotify:album:3PRoXYsngSwjEQWR5PsHWR,54
,NWA,Straight Outta Compton,spotify:album:0Y7qkJVZ06tS2GUCDptzyW,55
,JAY-Z,The Blueprint III,spotify:album:2CUT0104gySOIvqwtXeFsX,56
,Kendrick Lamar,"good kid, m.A.A.d. city",spotify:album:3DGQ1iZ9XKUQxAUWjfC34w,57
,Arctic Monkeys,AM,spotify:album:78bpIziExqiI9qztvNFlQu,58
,Various Artists,Wicked,spotify:album:1woCvthHJakakroP6dXNxs,59
,Various Artists,Hamilton,spotify:album:1kCHru7uhxBUdzkm4gzRQc,60
,Various Artists,Mamma Mia!,spotify:album:6QtnCAFmqOwR75jOOmU7k9,61
